Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,29350,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,154270,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,39440,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,40110,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,34070,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,119940,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,12320,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,29600,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,190940,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,39190,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,68250,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,102480,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,189470,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,24960,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,64650,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,22060,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,20860,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,22930,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,26450,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,26830,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,20140,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,34190,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,53760,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,19510,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,23410,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,22930,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,87260,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,40110,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,195450,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,45680,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,30220,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,57720,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,22690,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,53810,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,34410,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,54540,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,98840,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,41570,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,134580,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,90690,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,40140,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,59150,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,59930,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,61620,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,24060,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,187400,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,76370,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,100960,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,147560,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,64990,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,97240,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,21940,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,33880,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,54730,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,27030,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,25010,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,62200,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,30380,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,44240,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,43120,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,132450,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,136640,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,50210,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,51260,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,28590,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,102390,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,53290,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,43250,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,72600,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,23220,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,20750,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,41520,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,96190,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,135030,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,54410,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,52090,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,106730,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,50100,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,135490,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,49990,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,42210,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,138720,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,20420,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,20730,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,29560,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,29260,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,48090,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,51630,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,188440,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,181720,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,57440,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,28890,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,28710,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,74840,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,60740,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,173280,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,27740,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,45050,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,74280,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,116310,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,Female,92,3,3,Sales Executive,4,Married,97380,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,28350,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,3,Male,92,3,4,Manager,4,Married,169590,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,Male,96,1,1,Research Scientist,3,Divorced,26130,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160,3,Male,95,3,2,Sales Executive,2,Married,61460,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,2,Female,72,3,1,Research Scientist,2,Married,49630,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,195370,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,2,Male,76,1,2,Sales Executive,3,Married,61720,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,3,Female,46,2,1,Research Scientist,2,Married,23680,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,94,3,3,Healthcare Representative,4,Married,103120,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,16750,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,25230,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,3,Female,96,3,2,Manufacturing Director,1,Married,65670,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,2,Female,72,4,1,Research Scientist,3,Single,47390,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,174,3,Female,77,3,3,Sales Executive,4,Single,92080,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,2,Female,71,1,2,Sales Executive,3,Married,45590,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,3,Male,96,3,3,Sales Executive,3,Divorced,81890,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177,3,Female,61,3,1,Human Resources,3,Married,29420,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,49410,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,1,Male,53,1,3,Manufacturing Director,4,Single,106500,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,4,Female,47,2,2,Sales Executive,3,Married,59020,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,86390,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
